rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
43	CRISPR I-E	Shedu	1	365	17573	298	4.67245895255543e-20	0.0148386227908066	2.90092574735091e-16	Y	Y
44	AbiE	CRISPR I-E	-1	17573	5251	3035	2.53321669725477e-19	3.71215147528715e-16	2.8021314323977e-07	Y	Y
45	CBASS I	Dnd_ABCDE	1	1407	4764	470	3.20045916280548e-19	1.80716511458809e-08	1.94574438522748e-20	Y	Y
46	AbiE	BREX I	1	1622	5251	791	3.47488368843366e-19	1.27122943328627e-15	4.61250810298483e-10	Y	Y
47	Dnd_FGH	Dpd	-1	1259	1378	19	3.71171746143423e-19	2.75374177156735e-17	9.14773852747907e-10	Y	Y
48	CBASS I	Dnd_FGH	1	1378	4764	457	7.3528254942113e-19	7.28785281802751e-08	2.94795998995009e-20	Y	Y
49	PsyrTA	RM I	1	18714	1382	1353	4.94847349527489e-18	4.31209778442004e-05	2.92072800434515e-17	Y	Y
50	CRISPR I-E	PsyrTA	-1	1382	17573	707	1.29647132887023e-17	7.67722940559487e-15	2.9996414757379e-05	Y	Y
51	hhe	mza	1	249	928	11	1.52395780694371e-17	5.9442927530982e-08	2.86326563224293e-10	Y	Y
52	AbiE	PsyrTA	1	1382	5251	450	1.32490961200195e-16	5.90702577911441e-18	0.915988229138653	Y	Y
53	BREX I	RM I	-1	18714	1622	716	3.58972782211954e-16	1.3978733198465e-15	2.35842832097352e-08	Y	Y
54	RM IV	Zorya II	1	2518	8297	222	4.55551687483986e-16	0.00442194826338789	5.86980000226216e-16	Y	Y
55	AbiH	RM IV	-1	8297	221	124	9.29017513407526e-16	4.25864117724308e-06	9.46355631961763e-16	Y	Y
56	3HP	CRISPR I-E	1	17573	254	169	1.58916823760316e-15	0.124456826466503	0.742034776120759	Y	Y
57	PsyrTA	Zorya II	-1	2518	1382	613	2.47034412727666e-15	0.00031254624189295	2.99064697456123e-13	Y	Y
58	AbiE	RM I	1	18714	5251	4192	3.41202488768249e-15	1.86067974801083e-11	2.8995960676124e-08	Y	Y
59	CRISPR I-E	Mokosh II	-1	975	17573	384	6.55297054762907e-15	3.47135006830509e-13	0.0004764191392357	Y	Y
60	Mokosh II	Thoeris I	1	1541	975	269	9.36580811561037e-15	0.00338447684369145	2.97122512022339e-14	Y	Y
61	PsyrTA	SoFic	-1	308	1382	48	1.25518190410196e-14	0.00078090001268227	1.08218310056877e-11	Y	Y
62	AbiE	RM II	1	26131	5251	5233	1.48494192192599e-14	0.532983728881468	5.57210959206455e-09	Y	Y
63	PifA	ppl	1	686	1362	96	1.49289031824631e-14	8.5737661629886e-07	4.52425634105269e-16	Y	Y
64	RM I	mza	1	249	18714	226	2.44249157202825e-14	6.24588311491889e-05	2.33796707707462e-07	Y	Y
65	RM IIG	ietAS	-1	1979	3307	70	2.57479130244047e-14	1.10604719943064e-14	4.27254668099709e-08	Y	Y
66	Lit	RM IV	1	8297	336	335	3.50763925869386e-14	8.20518932691965e-12	1.34709130434258e-12	Y	Y
67	Mokosh II	SoFic	1	308	975	101	6.45135626334656e-14	1.2008875600517e-11	0.00557010507033484	Y	Y
68	AbiQ	Dpd	1	1259	203	4	1.16360915633244e-13	1.41902321733767e-08	0.238558209642052	Y	Y
